Word	Cyrillic	Village	Type	General type	Lat	Lon	Language	Dialect / Alternative name	Glottocode	Resource type	Reference	Comment
p’ilp’il	пIилпIил	Glottolog_point	3. pilpil	other	42.1806	45.34397	Bats	Tsova-Tush		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
p’ilp’il	пІилпІил	Glottolog_point	3. pilpil	other	42.6	45.80638	Hinuq			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
p’imp’il	пІимпІил	Glottolog_point	3. pilpil	other	40.9	47.7236	Udi			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
perecːi	перецци	Ratlub	4. perec	other	42.359268	46.433433	Akhvakh	Southern		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
pilpil	пилпил	Gunib	3. pilpil	other	42.388232	46.962258	Avar	Batlukh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
pilpil	пилпил	Tidib	3. pilpil	other	42.3889	46.5742	Avar	Hid		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
pilpil	пилпил	Khvartikuni	3. pilpil	other	42.4569	47.0067	Avar	Andalal		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
pilpil	пилпил	Gergebil'	3. pilpil	other	42.5047	47.0661	Avar	East Gergebil		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
pilpil	пилпил	Khunzakh	3. pilpil	other	42.5394	46.705	Avar	Khunzakh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
pilpil	пилпил	Glottolog_point	3. pilpil	other	42.80785	46.29187	Andi			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
puč	пуч	Sagada	2. burč	other	42.38941	45.91798	Tsez	Sagada		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
